Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"No Guidance, Remake","Litfranse","No Guidance, Remake","Favorite Songs","Favorite","QZK6G2029574","0pyrqayyrEJhUqrhOJv1WO"
"One Dance","Drake","Views","Favorite Songs","Favorite","USCM51600028","5ZKG94fnjiuMH5yrC5S9lS"
"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd","Save Your Tears (Remix)","Favorite Songs","Favorite","USUG12101839","37BZB0z9T8Xu7U3e65qxFy"
"Ye Tune Kya Kiya","Pritam","Once Upon Ay Time In Mumbai Dobaara !","Favorite Songs","Favorite","INS181304385","2cPUB8EOT6AfJ8oxhyoNXL"
"double take","Dhruv","double take","Favorite Songs","Favorite","GBMJG1911043","2CVChktEKBsM6v4IfdFU5k"
"Venom","Little Simz","GREY Area","Favorite Songs","Favorite","GBWWP1804476","3A0ITFj6kbb9CggwtPe55f"
"2002","Anne-Marie","Speak Your Mind (Deluxe)","Favorite Songs","Favorite","GBAHS1800094","2BgEsaKNfHUdlh97KmvFyo"
"Tujh Mein Rab Dikhta Hai","Salim–Sulaiman","Rab Ne Bana Di Jodi","Favorite Songs","Favorite","INY090800053","2LcXJP95e4HKydTZ2mYfrx"
"это ли счастье?","Rauf & Faik","это ли счастье?","Favorite Songs","Favorite","RUA582102775","4KGq63QyNHWz44M5S6PWGo"
"If the World Was Ending (feat. Julia Michaels)","JP Saxe","If the World Was Ending (feat. Julia Michaels)","Favorite Songs","Favorite","USQX91902708","2kJwzbxV2ppxnQoYw4GLBZ"
"Dandelions - slowed + reverb","Ruth B.","Dandelions (slowed + reverb)","Favorite Songs","Favorite","USSM12106073","6fhG2KJgwO7CrNflRaRmvp"
"Someone You Loved","Lewis Capaldi","Divinely Uninspired To A Hellish Extent","Favorite Songs","Favorite","DEUM71807062","7qEHsqek33rTcFNT9PFqLf"
"Fight Song","Rachel Platten","Wildfire","Favorite Songs","Favorite","USSM11500753","37f4ITSlgPX81ad2EvmVQr"
"Set Fire to the Rain","Adele","21","Favorite Songs","Favorite","GBBKS1000348","3di5hcvxxciiqwMH1jarhY"
"Grenade","Bruno Mars","Doo-Wops & Hooligans","Favorite Songs","Favorite","USAT21001883","4lLtanYk6tkMvooU0tWzG8"
"Train Wreck","James Arthur","Back from the Edge","Favorite Songs","Favorite","DEE861600590","55Am8neGJkdj2ADaM3aw5H"
"Ilahi","Pritam","Yeh Jawaani Hai Deewani","Favorite Songs","Favorite","INS181303779","5cgKosPPj5Cs9a2JQufUc1"
"traitor","Olivia Rodrigo","SOUR","Favorite Songs","Favorite","USUG12101243","5CZ40GBx1sQ9agT82CLQCT"
"Trampoline (with ZAYN)","SHAED","Trampoline (with ZAYN)","Favorite Songs","Favorite","QZ47A1900210","1iQDltZqI7BXnHrFy4Qo1k"
